#mjd,filter,propid,dmag,mag
57798.5135144,gp,KEY2014A-003,0.0165187253621,15.540090445696428
57798.5107338,gp,KEY2014A-003,0.0165187253621,15.537691119910713
57798.8230366,V,KEY2014A-003,0.00919490825671,15.570442906098394
57798.8211794,V,KEY2014A-003,0.00855803278703,15.582383090811268
57798.8182178,B,KEY2014A-003,0.00847949584696,15.768019236399999
57798.8154324,B,KEY2014A-003,0.00824182464287,15.770571961435028
57798.8020848,ip,KEY2014A-003,0.00746575391022,15.589446819915759
57798.8002282,ip,KEY2014A-003,0.00746598579976,15.620923707428144
57798.798177,rp,KEY2014A-003,0.00708404927576,15.60924838263132
57798.7963238,rp,KEY2014A-003,0.00615474116702,15.609020719321109
57798.7933528,gp,KEY2014A-003,0.00828323502721,15.620676714916469
57798.7905619,gp,KEY2014A-003,0.0074684343229,15.603888597255366
57799.1536474,B,KEY2014A-003,0.0105674509855,15.81462609697624
57799.1508712,B,KEY2014A-003,0.00965505918703,15.816887321039601
57799.1334864,ip,KEY2014A-003,0.0084142774231,15.580660946945493
57799.1316273,ip,KEY2014A-003,0.0126151499737,15.568968140757185
57799.1296464,rp,KEY2014A-003,0.00741489183158,15.6514289497998
57799.1277885,rp,KEY2014A-003,0.00896003605945,15.645682939567887
57799.1248489,gp,KEY2014A-003,0.0111307438158,16.077964657057215
57799.12207,gp,KEY2014A-003,0.0111307438158,16.078513204277925
57799.1584553,V,KEY2014A-003,0.0108573044525,15.64677903122574
57799.1566074,V,KEY2014A-003,0.0135144256009,15.622529989356435
57799.5174331,ip,KEY2014A-003,0.0276304128247,13.71317993985178
57799.5155836,ip,KEY2014A-003,0.0276304128247,13.714847651946641
57799.513573,rp,KEY2014A-003,0.0259300387359,13.97814194571146
57799.5117196,rp,KEY2014A-003,0.0285992644667,14.002391072895257
57799.5088032,gp,KEY2014A-003,0.0247713027118,16.35077020125532
57799.5060186,gp,KEY2014A-003,0.0243136975529,16.305721963739416
57799.4816771,V,KEY2014A-003,0.138839151022,15.769371538929772
57799.4798282,V,KEY2014A-003,0.138691003213,15.78670976776261
57799.4768825,B,KEY2014A-003,0.13325430566,13.51274363673986
57799.4741033,B,KEY2014A-003,0.13325430566,13.490712070433236
57799.8507459,V,KEY2014A-003,0.0105509862967,15.54909906549109
57799.8488846,V,KEY2014A-003,0.0105509765541,15.538877842203963
57799.8459194,B,KEY2014A-003,0.00824245662688,15.771543186111504
57799.8431371,B,KEY2014A-003,0.00896522514583,15.768320184778215
57800.085838,ip,KEY2014A-003,0.00768498600915,15.596942635056493
57800.0839879,ip,KEY2014A-003,0.00942423983479,15.593826813260652
57800.0819941,rp,KEY2014A-003,0.00818226869762,15.473491659908817
57800.0801301,rp,KEY2014A-003,0.00729688111426,15.468049514945488
57800.0772158,gp,KEY2014A-003,0.0120908924606,15.021448975229621
57800.0744374,gp,KEY2014A-003,0.0124869743692,15.027845550796693
57800.0723984,V,KEY2014A-003,0.0159350570643,15.379358529495049
57800.0705465,V,KEY2014A-003,0.016285978867,15.357792026968315
57800.0675778,B,KEY2014A-003,0.0153454472345,15.064644932962374
57800.0647968,B,KEY2014A-003,0.0150633791609,15.066736386374256
57803.4530025,ip,KEY2014A-003,0.0172849407442,15.35301525174578
57803.4511453,ip,KEY2014A-003,0.0169316879103,15.340600105529296
57803.4491357,rp,KEY2014A-003,0.0174687844371,16.024966038975176
57803.4472837,rp,KEY2014A-003,0.0174687844371,16.00282392578749
57803.4443554,gp,KEY2014A-003,0.0809183727872,13.198588975736303
57803.441574,gp,KEY2014A-003,0.0809183727872,13.20148964110388
57803.4395309,V,KEY2014A-003,0.0442640204263,15.499754524080322
57803.4376795,V,KEY2014A-003,0.0442640204263,15.511631087084336
57803.4347461,B,KEY2014A-003,0.334539686144,12.435135684674709
57803.4319668,B,KEY2014A-003,0.334539686144,12.129860581060253
57805.8498173,ip,KEY2014A-003,0.00634864401795,15.470896867591673
57805.8479288,ip,KEY2014A-003,0.00634887560579,15.460528732918734
57805.8458249,rp,KEY2014A-003,0.00583767617703,15.537275141759167
57805.8439648,rp,KEY2014A-003,0.00583767617703,15.536112008439044
57805.8410067,gp,KEY2014A-003,0.00655019414976,15.738883745545039
57805.8382239,gp,KEY2014A-003,0.00655019414976,15.751624339895333
57805.8361285,V,KEY2014A-003,0.0128827012985,15.27556426381972
57805.8342503,V,KEY2014A-003,0.0128827012985,15.279819933473267
57805.8312186,B,KEY2014A-003,0.0119763390234,15.587756345359782
57805.8284216,B,KEY2014A-003,0.0119763390234,15.627873971097028
57808.7658509,ip,KEY2014A-003,0.0124520398864,16.363038230889618
57808.7639988,ip,KEY2014A-003,0.0128839019898,16.39092618512944
57808.7619667,rp,KEY2014A-003,0.0134576966064,16.211504199491685
57808.7601092,rp,KEY2014A-003,0.0138823864265,16.210340294161945
57808.7571838,gp,KEY2014A-003,0.04999244547,15.817706552587005
57808.7544065,gp,KEY2014A-003,0.04999244547,15.820854222496695
